 Power, Latitude, Longitude
-56,21.137093,72.75972
-20,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-62,21.137093,72.75972
-14,21.137093,72.75972
-72,21.137093,72.75972
-70,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-74,21.137093,72.75972
-70,21.137093,72.75972
-70,21.137093,72.75972
-72,21.137093,72.75972
-74,21.137093,72.75972
-72,21.137093,72.75972
-70,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-68,21.137093,72.75972
-72,21.137093,72.75972
-70,21.137093,72.75972
-72,21.137093,72.75972
-16,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-70,21.137093,72.75972
-70,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-70,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-14,21.137093,72.75972
-70,21.137093,72.75972
-20,21.137093,72.75972
-68,21.137093,72.75972
-70,21.137093,72.75972
-70,21.137093,72.75972
-70,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-70,21.137093,72.75972
-72,21.137093,72.75972
-16,21.137093,72.75972
-60,21.137093,72.75972
-58,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-70,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-54,21.137093,72.75972
-70,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-54,21.137093,72.75972
-74,21.137093,72.75972
-72,21.137093,72.75972
-62,21.137093,72.75972
-72,21.137093,72.75972
-16,21.137093,72.75972
-72,21.137093,72.75972
-74,21.137093,72.75972
-74,21.137093,72.75972
-74,21.137093,72.75972
-76,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-72,21.137093,72.75972
-74,21.137093,72.75972
-72,21.137093,72.75972
-62,21.137093,72.75972
-60,21.137093,72.759735
-52,21.137093,72.759735
-64,21.137093,72.759735
-20,21.137093,72.759735
-20,21.137093,72.759735
-64,21.137093,72.759735
-62,21.137093,72.759735
-18,21.137093,72.759735
-60,21.137094,72.75975
-16,21.137098,72.759773
-76,21.137098,72.759773
-62,21.137098,72.759773
-74,21.137098,72.759773
-74,21.137098,72.759773
-74,21.137098,72.759773
-72,21.137098,72.759773
-76,21.137098,72.759773
-16,21.137098,72.759773
-76,21.137098,72.759773
-72,21.137098,72.759773
-76,21.137098,72.759773
-74,21.137098,72.759773
-74,21.137098,72.759773
-74,21.137098,72.759773
-74,21.137098,72.759773
-74,21.137098,72.759773
-74,21.137098,72.759773
-76,21.137098,72.759773
-74,21.137098,72.759773
-76,21.137098,72.759773
-60,21.137098,72.759773
-74,21.137104,72.759796
-80,21.137108,72.759819
-74,21.137108,72.759819
-64,21.137108,72.759819
-66,21.137108,72.759819
-20,21.137108,72.759819
-20,21.137108,72.759819
-64,21.137108,72.759819
-72,21.137114,72.75985
-66,21.137114,72.75985
-66,21.137114,72.75985
-58,21.137114,72.75985
-60,21.137117,72.75988
-56,21.137117,72.75988
-62,21.137117,72.75988
-16,21.137117,72.75988
-74,21.137117,72.75988
-74,21.137117,72.75988
-74,21.137117,72.75988
-72,21.137117,72.75988
-56,21.137117,72.75988
-62,21.137117,72.75988
-16,21.137117,72.75988
-74,21.137117,72.75988
-8,21.137117,72.75988
-56,21.137117,72.75988
-66,21.137117,72.75988
-74,21.137117,72.75988
-74,21.137117,72.75988
-68,21.137117,72.75988
-66,21.137117,72.75988
-68,21.137117,72.75988
-80,21.137129,72.759918
-74,21.137129,72.759918
-76,21.137129,72.759918
-70,21.137136,72.759964
-68,21.137136,72.759964
-68,21.137136,72.759964
-66,21.137148,72.760002
-66,21.137148,72.760002
-62,21.137148,72.760002
-64,21.137148,72.760002
-66,21.137148,72.760002
-64,21.137148,72.760002
-62,21.137148,72.760002
-62,21.137148,72.760002
-64,21.137148,72.760002
-64,21.137148,72.760002
-64,21.137148,72.760002
-66,21.137148,72.760002
-66,21.137148,72.760002
-66,21.137148,72.760002
-74,21.137148,72.760002
-64,21.137148,72.760002
-66,21.137148,72.760002
-66,21.137148,72.760002
-66,21.137148,72.760002
-64,21.137148,72.760002
-66,21.137148,72.760002
-66,21.137148,72.760002
-64,21.137148,72.760002
-66,21.137148,72.760002
-64,21.137148,72.760002
-64,21.137148,72.760002
-72,21.137148,72.760002
-64,21.137148,72.760002
-66,21.137148,72.760002
-62,21.137148,72.760002
-64,21.137148,72.760002
-64,21.137148,72.760002
-68,21.137148,72.760002
-66,21.137148,72.760002
-66,21.137148,72.760002
-66,21.137148,72.760002
-72,21.137148,72.760002
-64,21.137148,72.760002
-64,21.137148,72.760002
-16,21.137148,72.760002
-8,21.137157,72.760048
-66,21.137157,72.760048
-64,21.137157,72.760048
-66,21.137157,72.760048
-66,21.137157,72.760048
-66,21.137157,72.760048
-64,21.137157,72.760048
-66,21.137157,72.760048
-66,21.137157,72.760048
-64,21.137157,72.760048
-66,21.137157,72.760048
-68,21.137157,72.760048
-66,21.137157,72.760048
-62,21.137157,72.760048
-66,21.137157,72.760048
-72,21.137157,72.760048
-66,21.137157,72.760048
-66,21.137157,72.760048
-64,21.137157,72.760048
-66,21.137157,72.760048
-62,21.137157,72.760048
-66,21.137157,72.760048
-66,21.137157,72.760048
-62,21.137157,72.760048
-64,21.137157,72.760048
-66,21.137157,72.760048
-70,21.137157,72.760048
-68,21.137157,72.760048
-66,21.137157,72.760048
-66,21.137157,72.760048
-68,21.137157,72.760048
-66,21.137157,72.760048
-70,21.137157,72.760048
-66,21.137157,72.760048
-68,21.137157,72.760048
-66,21.137157,72.760048
-66,21.137157,72.760048
-64,21.137157,72.760048
-66,21.137157,72.760048
-68,21.137157,72.760048
-14,21.137157,72.760048
-66,21.137157,72.760048
-68,21.137157,72.760048
-66,21.137157,72.760048
-68,21.137157,72.760048
-66,21.137157,72.760048
-66,21.137157,72.760048
-66,21.137157,72.760048
-66,21.137157,72.760048
-66,21.137157,72.760048
-68,21.137157,72.760048
-62,21.137157,72.760048
-66,21.137157,72.760048
-64,21.137157,72.760048
-68,21.137157,72.760048
-64,21.137157,72.760048
-68,21.137157,72.760048
-66,21.137157,72.760048
-70,21.137157,72.760048
-68,21.137171,72.760094
-18,21.137182,72.760147
-64,21.137182,72.760147
-70,21.137182,72.760147
-60,21.137182,72.760147
-66,21.137182,72.760147
-68,21.137194,72.760201
-74,21.137194,72.760201
-74,21.137194,72.760201
-74,21.137194,72.760201
-66,21.137194,72.760201
-74,21.137194,72.760201
-68,21.137194,72.760201
-74,21.137194,72.760201
-70,21.137194,72.760201
-72,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-74,21.137194,72.760201
-72,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-56,21.137194,72.760201
-64,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-62,21.137194,72.760201
-62,21.137194,72.760201
-62,21.137194,72.760201
-16,21.137194,72.760201
-66,21.137194,72.760201
-68,21.137194,72.760201
-66,21.137194,72.760201
-74,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-68,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-68,21.137194,72.760201
-66,21.137194,72.760201
-68,21.137194,72.760201
-64,21.137194,72.760201
-66,21.137194,72.760201
-64,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-72,21.137194,72.760201
-68,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-16,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-64,21.137194,72.760201
-66,21.137194,72.760201
-56,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-66,21.137194,72.760201
-64,21.137194,72.760201
-64,21.137194,72.760201
-64,21.137194,72.760201
-58,21.137194,72.760201
-62,21.137194,72.760201
-62,21.137194,72.760201
-62,21.137194,72.760201
-16,21.137194,72.760201
-76,21.137209,72.760254
-72,21.137228,72.760315
-22,21.137228,72.760315
-74,21.137228,72.760315
-70,21.137228,72.760315
-70,21.137228,72.760315
-78,21.137228,72.760315
-74,21.137247,72.760384
-70,21.137247,72.760384
-66,21.137247,72.760384
-68,21.137247,72.760384
-68,21.137247,72.760384
-66,21.137247,72.760384
-64,21.137247,72.760384
-70,21.137247,72.760384
-68,21.137247,72.760384
-68,21.137247,72.760384
-68,21.137247,72.760384
-72,21.137247,72.760384
-68,21.137247,72.760384
-66,21.137247,72.760384
-68,21.137247,72.760384
-60,21.137247,72.760384
-66,21.137247,72.760384
-68,21.137247,72.760384
-68,21.137247,72.760384
-62,21.137247,72.760384
-16,21.137247,72.760384
-70,21.137247,72.760384
-64,21.137247,72.760384
-70,21.137247,72.760384
-68,21.137247,72.760384
-68,21.137247,72.760384
-68,21.137247,72.760384
-70,21.137247,72.760384
-68,21.137247,72.760384
-68,21.137247,72.760384
-72,21.137247,72.760384
-66,21.137247,72.760384
-66,21.137247,72.760384
-70,21.137247,72.760384
-68,21.137247,72.760384
-16,21.137247,72.760384
-70,21.137247,72.760384
-68,21.137247,72.760384
-68,21.137247,72.760384
-74,21.137247,72.760384
-76,21.137247,72.760384
-68,21.137247,72.760384
-68,21.137247,72.760384
-72,21.137247,72.760384
-66,21.137247,72.760384
-66,21.137247,72.760384
-68,21.137247,72.760384
-64,21.137247,72.760384
-66,21.137247,72.760384
-70,21.137247,72.760384
-66,21.137247,72.760384
-62,21.137247,72.760384
-66,21.137247,72.760384
-68,21.137247,72.760384
-72,21.137264,72.760452
-68,21.137264,72.760452
-64,21.137264,72.760452
-48,21.137283,72.760529
-62,21.137283,72.760529
-70,21.137283,72.760529
-70,21.137283,72.760529
-72,21.137283,72.760529
-76,21.137304,72.760605
-68,21.137304,72.760605
-72,21.137304,72.760605
-72,21.137304,72.760605
-68,21.137304,72.760605
-74,21.137304,72.760605
-74,21.137304,72.760605
-74,21.137304,72.760605
-74,21.137304,72.760605
-76,21.137304,72.760605
-74,21.137304,72.760605
-68,21.137304,72.760605
-78,21.137304,72.760605
-78,21.137304,72.760605
-76,21.137304,72.760605
-72,21.137304,72.760605
-78,21.137304,72.760605
-80,21.137304,72.760605
-78,21.137304,72.760605
-76,21.137325,72.760681
-68,21.137325,72.760681
-18,21.137325,72.760681
-70,21.137325,72.760681
-72,21.137325,72.760681
-70,21.137325,72.760681
-70,21.137325,72.760681
-72,21.137325,72.760681
-72,21.137325,72.760681
-70,21.137325,72.760681
-70,21.137325,72.760681
-70,21.137325,72.760681
-70,21.137325,72.760681
-72,21.137325,72.760681
-72,21.137325,72.760681
-66,21.137325,72.760681
-72,21.137325,72.760681
-72,21.137325,72.760681
-18,21.137325,72.760681
-72,21.137325,72.760681
-68,21.137325,72.760681
-68,21.137325,72.760681
-70,21.137325,72.760681
-72,21.137325,72.760681
-74,21.137325,72.760681
-72,21.137325,72.760681
-72,21.137325,72.760681
-72,21.137325,72.760681
-74,21.137325,72.760681
-74,21.137325,72.760681
-72,21.137325,72.760681
-72,21.137325,72.760681
-76,21.137325,72.760681
-74,21.137325,72.760681
-74,21.137325,72.760681
-70,21.137325,72.760681
-74,21.137325,72.760681
-74,21.137325,72.760681
-70,21.137325,72.760681
-70,21.137325,72.760681
-72,21.137325,72.760681
-72,21.137325,72.760681
-18,21.137325,72.760681
-74,21.137325,72.760681
-72,21.137325,72.760681
-74,21.137325,72.760681
-74,21.137325,72.760681
-66,21.137325,72.760681
-74,21.137325,72.760681
-74,21.137325,72.760681
-74,21.137325,72.760681
-72,21.137325,72.760681
-74,21.137325,72.760681
-70,21.137325,72.760681
-72,21.137325,72.760681
-72,21.137325,72.760681
-70,21.137325,72.760681
-72,21.137325,72.760681
-72,21.137325,72.760681
-70,21.137325,72.760681
-70,21.137325,72.760681
-70,21.137325,72.760681
-64,21.137325,72.760681
-76,21.137325,72.760681
-66,21.137325,72.760681
-60,21.137325,72.760681
-60,21.137325,72.760681
-62,21.137325,72.760681
-60,21.137325,72.760681
-76,21.137325,72.760681
-74,21.137342,72.760765
-72,21.137342,72.760765
-80,21.137342,72.760765
-74,21.137342,72.760765
-68,21.137342,72.760765
-66,21.137342,72.760765
-78,21.137342,72.760765
-74,21.137342,72.760765
-66,21.137342,72.760765
-68,21.137342,72.760765
-68,21.137342,72.760765
-68,21.137342,72.760765
-56,21.137342,72.760765
-22,21.137342,72.760765
-72,21.137365,72.760841
-72,21.137365,72.760841
-68,21.137365,72.760841
-72,21.137365,72.760841
-68,21.137365,72.760841
-70,21.137365,72.760841
-76,21.137365,72.760841
-76,21.137365,72.760841
-74,21.137365,72.760841
-76,21.137365,72.760841
-74,21.137365,72.760841
-80,21.137365,72.760841
-74,21.137383,72.760925
-72,21.137383,72.760925
-76,21.137383,72.760925
-74,21.137383,72.760925
-64,21.137383,72.760925
-66,21.137383,72.760925
-72,21.137383,72.760925
-70,21.137383,72.760925
-74,21.137383,72.760925
-16,21.137383,72.760925
-70,21.137383,72.760925
-74,21.137403,72.761002
-70,21.137403,72.761002
-74,21.137403,72.761002
-72,21.137403,72.761002
-72,21.137403,72.761002
-72,21.137403,72.761002
-72,21.137403,72.761002
-78,21.137423,72.761078
-72,21.137423,72.761078
-78,21.137423,72.761078
-66,21.137423,72.761078
-66,21.137423,72.761078
-66,21.137423,72.761078
-66,21.137423,72.761078
-74,21.137423,72.761078
-78,21.137423,72.761078
-78,21.137423,72.761078
-76,21.137423,72.761078
-78,21.137423,72.761078
-72,21.137423,72.761078
-72,21.137423,72.761078
-72,21.137423,72.761078
-72,21.137423,72.761078
-70,21.137423,72.761078
-76,21.137423,72.761078
-76,21.137423,72.761078
-70,21.137423,72.761078
-72,21.13744,72.761162
-76,21.13744,72.761162
-70,21.13744,72.761162
-74,21.13744,72.761162
-72,21.13744,72.761162
-76,21.13744,72.761162
-76,21.13744,72.761162
-74,21.13744,72.761162
-70,21.137461,72.761253
-70,21.137461,72.761253
-68,21.137461,72.761253
-66,21.137461,72.761253
-72,21.137461,72.761253
-74,21.137461,72.761253
-74,21.137461,72.761253
-76,21.137486,72.761345
-72,21.137486,72.761345
-72,21.137486,72.761345
-70,21.137486,72.761345
-68,21.137486,72.761345
-70,21.137486,72.761345
-70,21.137486,72.761345
-78,21.137486,72.761345
-74,21.137486,72.761345
-76,21.137486,72.761345
-70,21.137486,72.761345
-72,21.137486,72.761345
-70,21.137486,72.761345
-16,21.137486,72.761345
-66,21.137486,72.761345
-10,21.137486,72.761345
-66,21.137486,72.761345
-66,21.137486,72.761345
-72,21.137486,72.761345
-10,21.137486,72.761345
-62,21.137486,72.761345
-70,21.137486,72.761345
-62,21.137486,72.761345
-74,21.137486,72.761345
-70,21.137486,72.761345
-72,21.137486,72.761345
-76,21.137486,72.761345
-76,21.137486,72.761345
-76,21.137486,72.761345
-68,21.137486,72.761345
-78,21.137486,72.761345
-74,21.137486,72.761345
-72,21.137486,72.761345
-78,21.137505,72.761436
-70,21.137505,72.761436
-74,21.137505,72.761436
-74,21.137505,72.761436
-72,21.137505,72.761436
-66,21.137505,72.761436
-66,21.137505,72.761436
-74,21.137529,72.761528
-72,21.137529,72.761528
-74,21.137529,72.761528
-76,21.137529,72.761528
-68,21.137554,72.76162
-20,21.137554,72.76162
-68,21.137554,72.76162
-68,21.137554,72.76162
-76,21.137554,72.76162
-74,21.137554,72.76162
-76,21.137554,72.76162
-80,21.137554,72.76162
-80,21.137554,72.76162
-70,21.137554,72.76162
-76,21.137554,72.76162
-70,21.137554,72.76162
-80,21.137554,72.76162
-68,21.137554,72.76162
-70,21.137554,72.76162
-74,21.137554,72.76162
-70,21.137554,72.76162
-76,21.137554,72.76162
-72,21.137579,72.761719
-74,21.137579,72.761719
-72,21.137579,72.761719
-76,21.137579,72.761719
-72,21.137579,72.761719
-14,21.137579,72.761719
-14,21.137579,72.761719
-66,21.137579,72.761719
-16,21.137579,72.761719
-8,21.137579,72.761719
-64,21.137598,72.76181
-74,21.137598,72.76181
-74,21.137598,72.76181
-12,21.137598,72.76181
-66,21.137598,72.76181
-74,21.137598,72.76181
-74,21.137598,72.76181
-76,21.137598,72.76181
-74,21.137598,72.76181
-74,21.137598,72.76181
-78,21.137598,72.76181
-76,21.137598,72.76181
-76,21.137598,72.76181
-72,21.137598,72.76181
-76,21.137598,72.76181
-72,21.137598,72.76181
-72,21.137598,72.76181
-68,21.137621,72.761902
-72,21.137621,72.761902
-68,21.137644,72.761986
-66,21.137644,72.761986
-68,21.137644,72.761986
-76,21.137661,72.762077
-64,21.137661,72.762077
-76,21.137661,72.762077
-76,21.137661,72.762077
-70,21.137661,72.762077
-72,21.137661,72.762077
-74,21.137661,72.762077
-76,21.137661,72.762077
